Area,Apartment,FlatNo,CustomerName,Phone,DeliveyCost,ProductName,DefaultQuantity,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07
Line 1,S.V Apartment,201,S.V Apartment,9876543210,120,TS Vijaya Standard Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,S.V Apartment,201,S.V Apartment,9876543210,120,TS Vijaya Full Cream Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,S.V Apartment,202,S.V Apartment,9123456789,120,Amul Tazza Milk,0.5,A,0.5,A,0.5,A,0.6,A
Line 1,S.V Apartment,301,S.V Apartment,9988776655,120,Heritage Cow Milk,1,1,1,1,1,1,1,1
Line 1,S.V Apartment,304,S.V Apartment,9345678123,120,Amul A2 Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,Swapnika Apartment,G1,Swapnika Apartment,7894561230,120,Heritage Toned Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,Swapnika Apartment,G1,Swapnika Apartment,7894561230,120,Heritage Full Cream Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,Swapnika Apartment,101,Swapnika Apartment,9012345678,120,Heritage Toned Milk,0.5,0.5,0.5,A,0.5,A,0.5,0.5
Line 1,Swapnika Apartment,103,Swapnika Apartment,8765432190,120,TS Vijaya Toned Milk,1.5,1.5,1.5,2,1.5,1.5,1.5,1.5
Line 1,Swapnika Apartment,203,Swapnika Apartment,9654321876,120,TS Vijaya Toned Milk,0.5,1.5,1.5,1.5,A,1.5,A,1.5
Line 1,Swapnika Apartment,204,Swapnika Apartment,7023456781,120,Heritage Toned Milk,0.5,0.5,0.5,0.5,A,A,0.5,0.5
Line 1,Swapnika Apartment,204,Swapnika Apartment,7023456781,120,Heritage Cow Milk,0.5,0.5,0.5,0.5,A,A,0.5,0.5
Line 1,Swapnika Apartment,302,Swapnika Apartment,8899776654,120,Sangam Toned Milk,1,1,1,1,A,1,1,1
Line 1,Swapnika Apartment,304,Swapnika Apartment,9445566778,120,Jersy Toned Milk,1,1,1,1,1,1,A,1
Line 1,Swapnika Apartment,402,Swapnika Apartment,8132456790,120,Heritage Toned Milk,1,1,1,1,1,1,1,1
Line 1,Swapnika Apartment,503,Swapnika Apartment,6309874521,120,Amul Tazza Milk,1,A,1,1,1,1,1,1
Line 1,Swapnika Apartment,503,Swapnika Apartment,6309874521,120,Amul Full Cream Milk,0.5,A,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,Sterling Apartment,S1,Sterling Apartment,7998456123,120,Heritage Toned Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,Sterling Apartment,S2,Sterling Apartment,8881234567,120,Heritage Toned Milk,0.5,A,A,A,A,A,A,A
Line 1,Sterling Apartment,S4,Sterling Apartment,9312456780,120,Heritage Toned Milk,0.5,0.5,0.5,0.5,0.5,0.5,1,1
Line 1,Sterling Apartment,T2,Sterling Apartment,7401236985,120,Heritage Toned Milk,0.5,A,A,A,A,A,A,A
Line 1,DCR Apartment,201,DCR Apartment,8509876543,120,Sangam Toned Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,DCR Apartment,201,DCR Apartment,8509876543,120,Amul A2 Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,Siri Nilayam,C1,Siri Nilayam,9678012345,120,Amul Full Cream Milk,1,1,1,1,1,1,1,1
Line 1,Beside Xerox Shop,1,Beside Xerox Shop,7289456102,120,Sangam Toned Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Line 1,Prasad Residency,301,Prasad Residency,9065432187,120,Jersy Toned Milk,0.5,0.5,0.5,0.5,A,0.5,A,0.5
Line 1,Prasad Residency,301,Prasad Residency,9065432187,120,Jersy FullCream Milk,0.5,0.5,0.5,0.5,A,A,A,0.5
Line 1,Subanjali Apartment,302,Subanjali Apartment,9821346570,120,Heritage Toned Milk,1,0.5,1,0.5,1,0.5,1,0.5
Line 1,Subanjali Apartment,401,Subanjali Apartment,7654321980,120,Jersy Enrich Milk,1,1,1,A,A,1,1,1.5
Line 1,Subanjali Apartment,502,Subanjali Apartment,8145672309,120,Heritage Toned Milk,1,1,1,1,1,1,1,1
Line 1,Suchitra Hills,102,Suchitra Hills,6998451237,120,Heritage Toned Milk,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
